Store_ID,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
1,1659.0,1961,530,66490.0
2,1461.0,1752,210,39820.0
3,1340.0,1609,720,54010.0
4,1451.0,1748,620,53730.0
5,1770.0,2111,450,46620.0
6,1442.0,1733,760,45260.0
7,1542.0,1858,1030,72240.0
8,1261.0,1507,1020,37720.0
9,1090.0,1321,680,46310.0
10,1030.0,1235,1130,44150.0
11,1187.0,1439,1090,71280.0
12,1751.0,2098,720,57620.0
13,1746.0,2064,1050,60470.0
14,1615.0,1931,1160,59130.0
15,1469.0,1756,770,66360.0
16,1644.0,1950,790,78870.0
17,1578.0,1907,1440,77250.0
18,1703.0,2045,670,38170.0
19,1438.0,1731,1030,63540.0
20,1940.0,2340,980,40190.0
21,1421.0,1700,370,43460.0
22,1458.0,1746,690,68890.0
23,1719.0,2065,950,52780.0
24,1449.0,1752,620,50680.0
25,1234.0,1488,840,41880.0
26,1732.0,2073,820,70050.0
27,1475.0,1777,1100,25820.0
28,1390.0,1648,980,60530.0
29,1642.0,1943,710,78100.0
30,1715.0,2071,650,84860.0
31,1439.0,1746,990,80140.0
32,1250.0,1508,990,14920.0
33,1331.0,1608,880,60460.0
34,1784.0,2163,620,74560.0
35,1375.0,1648,1020,72430.0
36,1871.0,2230,700,45460.0
37,1442.0,1744,610,41570.0
38,1174.0,1411,1080,62870.0
39,1839.0,2204,1010,55170.0
40,1270.0,1516,10,45480.0
41,1435.0,1725,1250,49550.0
42,965.0,1152,600,48140.0
43,1665.0,2001,730,67640.0
44,1780.0,2117,780,39730.0
45,1009.0,1194,520,35800.0
46,1227.0,1471,870,49270.0
47,1769.0,2087,690,66510.0
48,1660.0,1982,910,62530.0
49,1472.0,1776,1260,59980.0
50,1408.0,1688,1040,76350.0
51,1514.0,1820,910,81820.0
52,1565.0,1880,1300,57830.0
53,1074.0,1288,320,70450.0
54,1864.0,2240,530,67000.0
55,1570.0,1898,980,64090.0
56,1417.0,1701,740,48670.0
57,1734.0,2060,1240,66210.0
58,1470.0,1763,1080,83660.0
59,1761.0,2104,1080,70770.0
60,1756.0,2070,460,53870.0
61,1704.0,2045,300,71300.0
62,2011.0,2391,530,46100.0
63,1472.0,1748,600,49100.0
64,1310.0,1561,860,65920.0
65,1544.0,1821,590,58660.0
66,1707.0,2052,920,69130.0
67,1881.0,2262,570,49080.0
68,1416.0,1681,290,72710.0
69,1631.0,1941,650,33430.0
70,1318.0,1576,710,42430.0
71,1692.0,2019,850,56650.0
72,1152.0,1380,530,33580.0
73,891.0,1073,630,67370.0
74,1468.0,1749,700,71780.0
75,1539.0,1833,650,84840.0
76,1635.0,1956,720,82070.0
77,1267.0,1520,450,26770.0
78,1250.0,1475,1390,65560.0
79,1720.0,2044,960,38660.0
80,1462.0,1761,600,65660.0
81,1431.0,1711,620,40700.0
82,1539.0,1858,1020,88910.0
83,1441.0,1723,330,57860.0
84,1572.0,1884,1410,42670.0
85,1287.0,1525,1200,90180.0
86,1468.0,1760,280,51280.0
87,1931.0,2342,940,97260.0
88,1252.0,1506,850,39650.0
89,1238.0,1468,960,45720.0
90,1479.0,1758,420,42060.0
91,1590.0,1912,830,65350.0
92,2169.0,2617,600,67080.0
93,1838.0,2205,400,54030.0
94,1385.0,1655,760,56360.0
95,1921.0,2305,1470,77120.0
96,1975.0,2385,500,50810.0
97,1853.0,2235,1120,60960.0
98,1816.0,2171,1160,61180.0
99,1785.0,2147,820,63660.0
100,1579.0,1899,1140,41190.0
101,1096.0,1321,900,78420.0
102,1919.0,2294,760,65580.0
103,1262.0,1500,1170,89080.0
104,1374.0,1655,1080,94170.0
105,1309.0,1587,1000,50950.0
106,1207.0,1434,690,65180.0
107,1692.0,2031,810,69310.0
108,1929.0,2311,630,79210.0
109,1573.0,1878,650,23740.0
110,1415.0,1700,920,36330.0
111,1162.0,1382,1260,51700.0
112,1485.0,1787,800,62950.0
113,1897.0,2248,1330,56010.0
114,1607.0,1927,940,45080.0
115,1909.0,2287,1210,46830.0
116,1274.0,1503,660,64750.0
117,1157.0,1379,770,80780.0
118,1712.0,2046,460,31180.0
119,1500.0,1798,860,56710.0
120,1682.0,2017,780,49390.0
121,1441.0,1727,890,66000.0
122,1525.0,1835,900,32770.0
123,1408.0,1669,530,46580.0
124,1947.0,2333,790,79780.0
125,1164.0,1390,370,35510.0
126,1787.0,2137,610,80970.0
127,1871.0,2241,500,61150.0
128,1718.0,2051,750,49210.0
129,1365.0,1636,980,79950.0
130,1368.0,1654,530,68740.0
131,1342.0,1595,910,57480.0
132,1076.0,1270,620,72630.0
133,1396.0,1672,1170,50070.0
134,1713.0,2071,900,40490.0
135,1370.0,1638,980,51850.0
136,1667.0,1993,740,42840.0
137,1638.0,1972,810,60940.0
138,1581.0,1905,810,62280.0
139,1795.0,2187,300,76530.0
140,1179.0,1412,790,85130.0
141,1978.0,2374,800,48590.0
142,1688.0,2042,760,73080.0
143,1214.0,1456,530,48950.0
144,1504.0,1805,540,48560.0
145,1498.0,1770,620,59380.0
146,1462.0,1762,1010,51190.0
147,1442.0,1750,130,58920.0
148,1250.0,1486,730,50360.0
149,1229.0,1480,830,38070.0
150,1936.0,2300,1060,49170.0
151,1369.0,1629,770,39740.0
152,1662.0,1986,70,63730.0
153,1548.0,1855,670,85330.0
154,1649.0,1963,490,27410.0
155,1393.0,1663,670,37320.0
156,1450.0,1734,380,71120.0
157,1613.0,1921,1200,72800.0
158,1408.0,1696,350,34410.0
159,775.0,932,1090,42530.0
160,1275.0,1534,1230,54300.0
161,1740.0,2078,680,50780.0
162,1372.0,1657,580,45020.0
163,1414.0,1723,680,69600.0
164,2044.0,2474,340,80340.0
165,1823.0,2176,700,37810.0
166,955.0,1133,580,46140.0
167,1465.0,1763,680,99570.0
168,1331.0,1606,630,38650.0
169,1232.0,1487,860,49800.0
170,1481.0,1765,490,69910.0
171,1343.0,1599,870,44910.0
172,1539.0,1837,990,78470.0
173,1007.0,1207,670,47460.0
174,1762.0,2145,490,33460.0
175,1527.0,1832,580,44090.0
